Genero;Edad;Nivel de Instrucción;¿Con qué frecuencia compras productos de comerciantes tricicleros?;¿Con qué frecuencia compras productos en tiendas?;¿Considera que los productos ofrecidos por los triciclos comerciales son:;¿Cuánto es su  gasto semanal comprando a comerciantes tricicleros?; ¿En que parroquia vive?;¿Qué tipo de productos suelen comprar más a los comerciantes tricicleros? ;¿Qué tipo de productos/servicios te gustaría ver más en la oferta de los comerciantes tricicleros?
Femenino;36;Secundaria;Varias veces por semana;Una vez por semana;Muy bueno;De 5 a 10 dólares;12 de Marzo;Productos de aseo;Productos frescos
Masculino;44;Secundaria;Varias veces por semana;Todos los días;Muy bueno;De 10 a 15 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Femenino;49;Secundaria;Ocasionalmente;Todos los días;Excelente;De 5 a 10 dólares;Vivo fuera de Portoviejo;Bebidas;Productos frescos
Masculino;50;Educación Superior;Varias veces por semana;Una vez por semana;Muy bueno;Más de 30 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;33;Secundaria;Una vez por semana;Una vez por semana;Muy bueno;De 5 a 10 dólares;Francisco Pacheco;Bebidas;Productos frescos
Masculino;34;Educación Superior;Varias veces por semana;Una vez por semana;Malo;De 15 a 20 dólares;Simón Bolívar;Productos de aseo;Productos frescos
Masculino;34;Secundaria;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;50;Educación Superior;Una vez por semana;Todos los días;Bueno;De 15 a 20 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;44;Educación Superior;Varias veces por semana;Una vez por semana;Excelente;De 5 a 10 dólares;Portoviejo;Productos frescos;Bebidas
Masculino;29;Secundaria;Ocasionalmente;Varias veces por semana;Muy bueno;De 5 a 10 dólares;Portoviejo;Productos frescos;Productos de aseo
Femenino;45;Secundaria;Una vez por semana;Todos los días;Bueno;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Masculino;43;Educación Superior;Ocasionalmente;Todos los días;Regular;De 5 a 10 dólares;Simón Bolívar;Productos de aseo;Productos frescos
Femenino;27;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Bebidas;Productos frescos
Femenino;29;Educación Superior;Todos los días;Varias veces por semana;Excelente;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;28;Secundaria;Varias veces por semana;Varias veces por semana;Excelente;De 10 a 15 dólares;Francisco Pacheco;Productos frescos;Productos frescos
Masculino;58;Primaria;Una vez por semana;Todos los días;Regular;Más de 50 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;52;Primaria;Ocasionalmente;Varias veces por semana;Muy bueno;De 5 a 10 dólares;San Pablo;Bebidas;Productos frescos
Masculino;47;Secundaria;Una vez por semana;Varias veces por semana;Excelente;De 5 a 10 dólares;San Pablo;Productos frescos;Bebidas
Masculino;30;Secundaria;Ocasionalmente;Varias veces por semana;Muy bueno;De 10 a 15 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos de aseo
Masculino;32;Educación Superior;Una vez por semana;Todos los días;Excelente;De 10 a 15 dólares;Francisco Pacheco;Productos frescos;Productos frescos
Masculino;22;Secundaria;Varias veces por semana;Ocasionalmente;Muy bueno;De 10 a 15 dólares;18 de Octubre;Productos frescos;Productos de aseo
Femenino;23;Secundaria;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Bebidas
Masculino;54;Educación Superior;Una vez por semana;Varias veces por semana;Muy bueno;De 10 a 15 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;31;Educación Superior;Una vez por semana;Ocasionalmente;Muy bueno;De 15 a 20 dólares;Portoviejo;Productos frescos;Bebidas
Masculino;53;Primaria;Una vez por semana;Varias veces por semana;Muy bueno;De 15 a 20 dólares;Andrés de Vera;Bebidas;Productos de aseo
Femenino;38;Educación Superior;Una vez por semana;Todos los días;Bueno;De 15 a 20 dólares;San Pablo;Bebidas;Productos frescos
Masculino;37;Educación Superior;Ocasionalmente;Todos los días;Regular;De 5 a 10 dólares;Portoviejo;Productos frescos;Productos frescos
Masculino;27;Secundaria;Varias veces por semana;Ocasionalmente;Bueno;De 10 a 15 dólares;Andrés de Vera;Bebidas;Productos frescos
Femenino;39;Educación Superior;Ocasionalmente;Una vez por semana;Excelente;De 15 a 20 dólares;Andrés de Vera;Bebidas;Productos frescos
Femenino;42;Educación Superior;Ocasionalmente;Una vez por semana;Muy bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;43;Educación Superior;Ocasionalmente;Varias veces por semana;Muy bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Femenino;44;Secundaria;Varias veces por semana;Una vez por semana;Bueno;De 10 a 15 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;56;Educación Superior;Ocasionalmente;Todos los días;Bueno;De 5 a 10 dólares;18 de Octubre;Productos frescos;Productos frescos
Femenino;40;Primaria;Ocasionalmente;Varias veces por semana;Excelente;De 5 a 10 dólares;12 de Marzo;Productos de aseo;Productos frescos
Femenino;48;Educación Superior;Una vez por semana;Varias veces por semana;Muy bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;31;Secundaria;Ocasionalmente;Una vez por semana;Muy bueno;De 5 a 10 dólares;Portoviejo;Productos frescos;Productos frescos
Femenino;39;Educación Superior;Ocasionalmente;Varias veces por semana;Regular;De 5 a 10 dólares;Francisco Pacheco;Productos frescos;Productos de aseo
Femenino;54;Educación Superior;Una vez por semana;Todos los días;Muy bueno;De 10 a 15 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;37;Educación Superior;Varias veces por semana;Una vez por semana;Excelente;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Bebidas
